X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
6529760.10374494,1834633.59839785,16966,HSIP Freedom Facilities_Superfund_NPL,CAT080012024,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),Operating Industries Incorporated,2550 Greenwood Avenue,,Monterey Park,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110000610303,,,19125,,91755,http://egis3.lacounty.gov/lms/?p=19125,publish,34.0336242,-118.1053214,2010/11/01 19:50:56+00,,,6529760.10374489,1834633.59839781
6509449.71391961,1895206.08945735,16967,HSIP Freedom Facilities_Superfund_NPL,CA9800013030,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),Nasa Jet Propulsion Laboratory,4800 Oak Grove Drive,,Pasadena,CA,,818-354-4321,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110002626061,,,19126,,91103,http://egis3.lacounty.gov/lms/?p=19126,publish,34.199992,-118.1727003,2010/11/01 19:50:56+00,,,6509449.71391955,1895206.08945732
6507012.76505336,1803390.19861443,16968,HSIP Freedom Facilities_Superfund_NPL,CAD055753370,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),Cooper Drum Company,9316 Atlantic Avenue,,South Gate,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110001167399,,,19127,,90280,http://egis3.lacounty.gov/lms/?p=19127,publish,33.9476833,-118.1802152,2010/11/01 19:50:56+00,,,6507012.7650533,1803390.19861439
6548415.83447802,1811306.43475044,16969,HSIP Freedom Facilities_Superfund_NPL,CAD042245001,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),Omega Chemical Site Prp Org Gp,12504 East Whittier Boulevard,,Whittier,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110000609510,,,19128,,90602,http://egis3.lacounty.gov/lms/?p=19128,publish,33.9695626,-118.0437137,2010/11/01 19:50:56+00,,,6548415.83447798,1811306.43475039
6509294.04395536,1817303.11304577,16970,HSIP Freedom Facilities_Superfund_NPL,CAD980737092,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),Pemaco Incorporated,5050 East Slauson Avenue,,Maywood,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110002671378,,,19129,,90270,http://egis3.lacounty.gov/lms/?p=19129,publish,33.9859248,-118.1727723,2010/11/01 19:50:56+00,,,6509294.0439553,1817303.11304572
6544833.47353253,1804374.18680394,16971,HSIP Freedom Facilities_Superfund_NPL,CAD980884357,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),Waste Disposal Incorporated,12731 East Los Nietos Road,,Santa Fe Springs,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110009268121,,,19130,,90670,http://egis3.lacounty.gov/lms/?p=19130,publish,33.950509,-118.0555158,2010/11/01 19:50:56+00,,,6544833.47353247,1804374.18680389
6575928.87229961,1828293.83581494,16972,HSIP Freedom Facilities_Superfund_NPL,CAD980817985,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),San Gabriel Valley (Area 4),Stimson Avenue And Old Valley Boulevard,,La Puente,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110009267907,,,19131,,91744,http://egis3.lacounty.gov/lms/?p=19131,publish,34.0162402,-117.9529487,2010/11/01 19:50:56+00,,,6575928.87229955,1828293.83581489
6523827.03818327,1858807.48640169,16973,HSIP Freedom Facilities_Superfund_NPL,CAD980818579,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),San Gabriel Valley (Area 3),Main Street And Gafield Avenue,,Alhambra,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110009267925,,,19132,,91801,http://egis3.lacounty.gov/lms/?p=19132,publish,34.100032,-118.125003,2010/11/01 19:50:56+00,,,6523827.03818323,1858807.48640165
6576128.32695319,1858093.76341969,16974,HSIP Freedom Facilities_Superfund_NPL,CAD980818512,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),San Gabriel Valley (Area 2),Sunset And San Bernardino Freeway,,West Covina,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110009267916,,,19133,,91790,http://egis3.lacounty.gov/lms/?p=19133,publish,34.098126,-117.9522438,2010/11/01 19:50:56+00,,,6576128.32695314,1858093.76341964
6470511.22716419,1767407.55273211,16975,HSIP Freedom Facilities_Superfund_NPL,CAD008242711,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),Montrose Chemical (Montrose Superfund Site),20201 South Normandie Avenue,,Torrance,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110002630608,,,19134,,90502,http://egis3.lacounty.gov/lms/?p=19134,publish,33.84856967,-118.30021201,2014/05/07 13:50:08+00,,,6470511.22716413,1767407.55273207
6493280.79973519,1896855.46214285,16976,HSIP Freedom Facilities_Superfund_NPL,CAD980894984,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),San Fernando Valley (Area 3),Glorietta Wellfield Area,,Montrose,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110009267989,,,19135,,91020,http://egis3.lacounty.gov/lms/?p=19135,publish,34.2044361,-118.2261851,2010/11/01 19:50:56+00,,,6493280.79973514,1896855.46214281
6446335.11377111,1901518.41508727,16977,HSIP Freedom Facilities_Superfund_NPL,CAD980894893,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),San Fernando Valley Area 1,North Hollywood Wellfield Area,,North Hollywood,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110009267961,,,19136,,91605,http://egis3.lacounty.gov/lms/?p=19136,publish,34.2168593,-118.3815062,2010/11/01 19:50:56+00,,,6446335.11377105,1901518.41508722
6486831.91761985,1862490.32188377,16978,HSIP Freedom Facilities_Superfund_NPL,CAD980894976,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),San Fernando Valley (Area 4),Pollock Wellfield,,Los Angeles,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110009329182,,,19137,,90039,http://egis3.lacounty.gov/lms/?p=19137,publish,34.1099637,-118.2472339,2010/11/01 19:50:56+00,,,6486831.91761981,1862490.32188372
6542462.3608207,1833077.80754618,16979,HSIP Freedom Facilities_Superfund_NPL,CAD980677355,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),San Gabriel Valley (Area 1),Peck Road And Real,,El Monte,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110009329538,,,19138,,91733,http://egis3.lacounty.gov/lms/?p=19138,publish,34.0293784,-118.0633937,2010/11/01 19:50:56+00,,,6542462.36082064,1833077.80754614
6472589.07799536,1769039.35360235,16980,HSIP Freedom Facilities_Superfund_NPL,CAD029544731,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),Del Amo Hazardous Waste Site,Vermont Avenue At Del Amo Boulevard,,Torrance,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110008273073,,,19139,,90502,http://egis3.lacounty.gov/lms/?p=19139,publish,33.8530704,-118.2933848,2010/11/01 19:50:56+00,,,6472589.0779953,1769039.35360231
6475156.78677069,1881873.91664669,16981,HSIP Freedom Facilities_Superfund_NPL,CAD980894901,Environment,EPA Superfund Sites,,US Environmental Protection Agency (EPA),San Fernando Valley (Area 2),Crystal Springs Wellfield Area,,Glendale,CA,,,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110009267970,,,19140,,91201,http://egis3.lacounty.gov/lms/?p=19140,publish,34.163142,-118.2859855,2010/11/01 19:50:56+00,,,6475156.78677064,1881873.91664664
