ObjectID,Site Name,EPA ID,Site ID,Region,Address,State,County,City,ZIP,Latitude,Longitude,Site NPL Status,Ready for Anticipated Use Status,Construction Complete,Site Name Alias,Snapshot,Site Background,In Opportunity Zone,Near Railroad,Near Highway,Near Electric Transmission Line,Population Density,Acres,Is the Site in Reuse?,Reuse Plan Name,Reuse Plan URL,Link to Site Snapshot,Most Recent Reuse-Related Document,Link to Document,x,y
1,10TH STREET SITE,NED981713837,0702001,7,28TH AVE & 10TH ST,NE,PLATTE,COLUMBUS,68601,41.427194,-97.3595,Currently on the Final NPL,Meets the Measure,Yes,"10TH STREET SITE, COLUMBUS PUBLIC WATER SUPPLY SS#07CS",,"The 10th Street Site is located in the south-central part of Columbus, Nebraska, and consists of groundwater plumes and source areas of tetrachloroethylene (PCE) and trichloroethylene (TCE) contamination originating from former dry cleaning facilities at ",No,Yes - 1/2 mile,No,Yes - 1 mile,"Urban Cluster (2,500-50,000 people)",944.51490359,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-nebraska#10,,,-10838009.9639,5075558.354800001
2,29TH & MEAD GROUND WATER CONTAMINATION,KSD007241656,0700496,7,412 E 29TH N 26S 1E SW 1/4 S 33,KS,SEDGWICK,WICHITA,67219,37.735692,-97.33325,Deleted from the Final NPL,Does Not Meet the Measure,No,"29TH & MEAD GROUND WATER CONTAMINATION, 29TH & MEAD GROUND WATER CONTAMINATION, 29TH & MEAD GROUNDWATER CONTAMINATION, COLEMAN OPERABLE UNIT, NORTH INDUSTRIAL CORRIDOR SITE, TWENTYNINTH & MEAD SS#079Q, WICHITA BRASS CO INC (FINDS)",,"The site is located in Wichita, Kansas, bounded on the north by East 37th Street, on the south by East 29th Street North, on the west by both North Santa Fe and North Mead Streets, and on the east by railroad tracks. The site is owned by New Coleman Holdi",Partially Within,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",3860.6379423,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-kansas#29,,,-10835087.8273,4542154.948700003
3,35TH AVENUE,ALN000410750,0410750,4,3500 35TH N.,AL,JEFFERSON,BIRMINGHAM,35207,33.557464,-86.799671,Proposed for NPL,Does Not Meet the Measure,No,"35TH AVENUE COKE SITE, 35TH AVENUE SITE, WALTER COKE","The 35th Avenue Superfund site is in North Birmingham, a historic residential district in Birmingham, Alabama. Several industrial facilities are also on-site. In the past, contaminated material from local industries was used in residential areas and at o","The 35th Avenue Superfund site is located in a mixed industrial and residential area of Birmingham, Jefferson County, Alabama, within the area historically known as North Birmingham. The site is focused on parcels in the Collegeville, Fairmont and Harrima",Partially Within,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",601.01192531,Yes,,,,,,-9662495.1767,3969533.916000001
4,57TH AND NORTH BROADWAY STREETS SITE,KSD981710247,0700694,7,57TH & N BROADWAY STREETS,KS,SEDGWICK,WICHITA,67219,37.783636,-97.337547,Currently on the Final NPL,Does Not Meet the Measure (Retracted),Yes,"57TH AND N. BROADWAY STREETS SITE, 57TH AND NORTH BROADWAY STREETS, 57TH AND NORTH BROADWAY STREETS SITE, 57TH AND NORTH BROADWAY STREETS SITE, 57TH AND NORTH BROADWAY STREETS SITE, 57TH AND NORTH BROADWAY STREETS SITE, NORTH BROADWAY (FINDS), WICHITA HEIGHTS",,"The 57th & North Broadway Streets Superfund Site is in the northern portion of the city of Wichita, Kansas, and part of Park City, Kansas. The Site extends approximately 1/2-mile west of North Broadway Avenue between 61st Street on the north and 53rd Stre",No,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",386.39513347,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-kansas#57,57TH AND NORTH BROADWAY STREETS SITE 2019 Fact Sheet,https://semspub.epa.gov/src/document/HQ/100002334,-10835566.1671,4548905.763899997
5,68TH STREET DUMP/INDUSTRIAL ENTERPRISES,MDD980918387,0300338,3,68TH STREET,MD,BALTIMORE,ROSEDALE,21237,39.307967,-76.517886,Proposed for NPL,Does Not Meet the Measure,No,"68TH STREET DUMP, 68TH STREET DUMP/INDUSTRIAL ENTERPRISES, 68TH STREET DUMP/INDUSTRIAL ENTERPRISES, 68TH STREET LANDFILL SITE, COLGATE PAY DUMP, Industrial Enterprises Site, R.M. WINSTEAD","The 239-acre 68th Street Dump/Industrial Enterprises Superfund site is in Baltimore County, Maryland. From 1950 to 1970, landfills on-site accepted industrial and commercial wastes containing hazardous wastes. They contaminated soil, sediment, groundwate","The 68th Street Site encompasses several landfills spread over a 239-acre area in Rosedale, Baltimore County, Maryland. From the 1950s through the 1970s, these landfills accepted industrial and commercial wastes containing hazardous wastes, which contamin",Partially Within,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",242.00938242,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-maryland#68street,,,-8517932.1061,4765881.700900003
6,700 SOUTH 1600 EAST PCE PLUME,UTD981548985,0800743,8,INTERSECTION OF 700 SOUTH & 1600 EAST,UT,SALT LAKE,SALT LAKE CITY,84102,40.753944,-111.848034,Currently on the Final NPL,Does Not Meet the Measure,No,"7 SOUTH 16 EAST PCE PLUME-MTO, 700 SOUTH 1600 EAST PCE PLUME, ARMY NATIONAL GUARD, MOUNT OLIVET CEMETARY PLUME, MOUNT OLIVET CEMETERY PLUME, MOUNT OLIVET CEMETERY PLUME, MOUNT OLIVET CEMETERY PLUME, OLD DUMP/FILL SITE, OLD DUMP/FILL SITE, OLD DUMP/FILL SITE, VA HOSPITAL PCE PLUME",,"The 700 South 1600 East PCE Plume site is located near the George E. Wahlen U.S. Department of Veterans Affairs (VA) Medical Center (VAMC) in Salt Lake City, Utah. The VA hospital operated a part-time drycleaning operation that used PCE over a 6-year peri",No,No,No,Yes - 1/2 mile,"Urban Area (50,000+ people)",457.34704704,Yes,,,,,,-12450866.1911,4976115.924699999
7,"A & F MATERIAL RECLAIMING, INC.",ILD980397079,0500534,5,WEST CUMBERLAND,IL,CUMBERLAND,GREENUP,62428,39.2439,-88.174,Deleted from the Final NPL,Meets the Measure,Yes,"A & F MATERIAL RECLAIMING, INC, A & F MATERIAL RECLAIMING, INC., A & F MATERIALS, A & F MATERIALS, A & F MATERIALS / GREEN UP, A & F MATERIALS RECLAIMING INC, A & F MATERIALS RECLAIMING, INC., A & F MATERIALS RECLAIMING, INC., A & F MATERIALS/GREENUP, A & F MATERIALS/GREENUP",,"The A & F Material Reclaiming, Inc., site covers nearly 4 acres near Greenup, Illinois. A recycling plant operated on site from 1977 to 1980. It processed waste materials such as oil, sludge and sulfuric acid into fuel oil and fire retardant chemicals. Th",Completely Within,Yes - 1/2 mile,Yes - 1 mile,No,"Rural (less than 2,500 people)",6.3459820906,No,,,,,,-9815484.7812,4756668.615099996
8,A. O. POLYMER,NJD030253355,0200290,2,44 STATION ROAD,NJ,SUSSEX,SPARTA TOWNSHIP,07871,41.04805,-74.63,Currently on the Final NPL,Meets the Measure,Yes,"A 0 POLYMER, A O POLYMER, A. O. POLYMER, A. O. POLYMER, A.0. POLYMER, A.O. POLYMER","The 4-acre A.O. Polymer Superfund site is in the township of Sparta in Sussex County, New Jersey. A manufacturing facility was on-site. From the early 1960s to 1993, it made resins, plastics, paper coatings and specialty polymers, and reclaimed spent sol","The 4-acre A. O. Polymer site, located at 44 Station Road in the Township of Sparta, Sussex County, New Jersey, was the former site of a manufacturing facility. From the early 1960s until 1993, the facility produced resins, plastics, paper coatings, and s",No,Yes - 1/2 mile,No,No,"Rural (less than 2,500 people)",10.42088587,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-new-jersey#aopolymer,,,-8307773.5979,5019431.613300003
9,A.I.W. FRANK/MID-COUNTY MUSTANG,PAD004351003,0300773,3,INT RTE 202 & RTE 30,PA,CHESTER,EXTON,19341,40.031811,-75.6032,Currently on the Final NPL,Meets the Measure,Yes,"A.I.W. FRANK/MID-COUNTY MUSTANG, AIW FRANK, CONTINENTAL *, EXTON AREA SITES","The 16-acre A.I.W. Frank/Mid-County Mustang Superfund site is in Exton, Pennsylvania. It includes the 15-acre A.I.W. Frank property and the 1-acre Mid-County Mustang property. In the 1940s, auto repair facilities and body shops opened on the Mid-County M","The A.I.W Frank/Mid-County Mustang Superfund Site is located on 16 acres which were originally surrounded by farmland, but are undergoing rapid development, including a mix of residential, commercial and light industrial areas. From 1962 to 1981, 15 of th",No,Yes - 1/2 mile,Yes - 1 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",17.979274177,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-pennsylvania#aiw,,,-8416109.7263,4870566.044699997
10,A.L. TAYLOR (VALLEY OF DRUMS),KYD980500961,0402072,4,ST HWY 1020,KY,BULLITT,BROOKS,40165,38.081939,-85.725,Deleted from the Final NPL,Does Not Meet the Measure,Yes,"A. L. TAYLOR (VALLEY OF DRUMS), A.L. TAYLOR (VALLEY OF DRUMS), A.L. TAYLOR (VALLEY OF DRUMS), TAYLOR A L SITE, VALLEY OF THE DRUMS",,"The A.L. Taylor (Valley of the Drums) Superfund site is located in Brooks, Kentucky. The 23-acre site is located in a rural area ten miles south of Louisville, Kentucky, near State Highway 1020 in Brooks, Bullitt County, Kentucky. The site includes 17-acr",Completely Within,Yes - 1/2 mile,No,Yes - 1/2 mile,"Rural (less than 2,500 people)",21.565214678,No,,,,,,-9542863.3483,4591007.520900004
