Tract,ZIP,County,ApproxLoc,TotPop19,CIscore,CIscoreP,Ozone,OzoneP,PM2_5,PM2_5_P,DieselPM,DieselPM_P,Pesticide,PesticideP,Tox_Rel,Tox_Rel_P,Traffic,TrafficP,DrinkWat,DrinkWatP,Lead,Lead_P,Cleanup,CleanupP,GWThreat,GWThreatP,HazWaste,HazWasteP,ImpWatBod,ImpWatBodP,SolWaste,SolWasteP,PollBurd,PolBurdSc,PolBurdP,Asthma,AsthmaP,LowBirtWt,LowBirWP,Cardiovas,CardiovasP,Educatn,EducatP,Ling_Isol,Ling_IsolP,Poverty,PovertyP,Unempl,UnemplP,HousBurd,HousBurdP,PopChar,PopCharSc,PopCharP,Child_10,Pop_10_64,Elderly65,Hispanic,White,AfricanAm,NativeAm,OtherMult,Shape_Leng,Shape_Area,AAPI,geometry
06037920336,91321,Los Angeles,Santa Clarita,6881,37.7945042,71.7473525,0.06591477,95.27069073,9.600230462,45.57560672,0.143280184,49.53329185,0.0,0.0,240.936671,37.89697424,1125.630067,65.35,670.5094459,73.78543774,72.0260968,81.49968494,12.0,68.94363568,1.5,10.64253694,0.3,50.13898081,0.0,0.0,2.0,52.89805269,49.58418759,6.054219456,69.35905414,36.13,35.11964108,4.77,46.00975109,10.21,31.54287139,41.3,90.88838269,18.6,84.54459331,57.0,89.17085427,6.4,61.53045289,28.5,87.8833967,60.18047858,6.242671655,65.9480585,18.8199,76.5586,4.6214,76.5586,15.2594,0.3779,0.0,4.2581,6695.40781827,1656761.52254,3.546,"POLYGON ((135258.6495999992 -402745.3827999998, 135455.13010000065 -403042.66839999985, 135475.05579999834 -403029.0410000002, 135773.77569999918 -403487.40189999994, 135512.16649999842 -403345.9784000004, 135440.0982999988 -403323.9036999997, 134970.6083999984 -403088.4731999999, 134875.12790000066 -402943.6793999998, 134172.41220000014 -403007.57409999985, 134024.7686999999 -402632.84580000024, 133625.26559999958 -402021.7056, 133715.9301000014 -401956.5007999996, 133779.93169999868 -401873.3925000001, 133867.6543999985 -401832.3141000001, 134047.6933999993 -401678.38999999966, 134082.44640000165 -401612.7092000004, 134245.2939000018 -401530.9611999998, 134284.73169999942 -401405.4992000004, 134267.01220000163 -401293.6805999996, 134321.39330000058 -401272.9768000003, 134378.16330000013 -401413.15940000024, 135258.6495999992 -402745.3827999998))"
06037920044,91350,Los Angeles,Santa Clarita,2399,12.05639959,18.11649017,0.06464682,93.62787803,10.00715869,49.25948973,0.133935786,46.9446173,0.0,0.0,234.8429972,37.42185546,1100.627828,64.0,586.1033787,67.96553016,10.04383339,3.81852552,0.0,0.0,0.3,2.108583762,0.0,0.0,1.0,12.45275094,0.0,0.0,31.22391366,3.812433656,20.38581207,30.9,26.59521436,5.88,72.85091096,13.62,58.07577268,3.1,11.35155657,1.2,8.485586683,7.1,4.396984925,3.0,17.11348256,4.8,0.975918885,30.48600263,3.162389349,20.61270802,14.5477,74.6978,10.7545,33.4306,49.604,1.0004,0.0,4.4185,4568.3185084,997860.592046,11.5465,"POLYGON ((137014.36670000106 -395334.2862, 137043.79100000113 -395843.8132999996, 136944.67049999908 -395897.3147999998, 136719.34540000185 -395959.01269999985, 136656.77540000156 -395994.06799999997, 136580.94409999996 -396074.05879999977, 136448.86070000008 -396311.08949999977, 136211.5117000006 -396521.3519000001, 135753.25609999895 -395988.7763, 135709.4589000009 -395972.92179999966, 135666.84169999883 -395926.6381000001, 135578.5273000002 -395795.4944000002, 135579.42720000073 -395717.56709999964, 135490.0416000001 -395588.21470000036, 135553.54800000042 -395571.9101, 135665.557599999 -395490.36560000014, 135743.74170000106 -395472.7209999999, 135891.8172999993 -395512.47589999996, 135999.0795999989 -395509.58050000016, 136083.1906999983 -395547.8892000001, 136130.08850000054 -395550.59690000024, 136223.61419999972 -395509.4007000001, 136291.72929999977 -395406.1149000004, 136352.56540000066 -395377.8594000004, 136633.15069999918 -395425.29289999977, 136741.4241000004 -395404.94739999995, 136824.35440000147 -395484.8881000001, 136933.4477000013 -395364.7489, 137014.36670000106 -395334.2862))"
06037573003,90806,Los Angeles,Long Beach,1843,41.26852857,77.0297529,0.03975537,20.84629745,11.64459056,64.23148724,0.283870929,74.66085874,0.0,0.0,17321.66634,99.29982496,914.8430107,52.6875,339.0441176,34.7321094,83.80688313,92.47637051,0.0,0.0,19.5,67.47468039,1.465,89.95367306,10.0,82.96934061,2.0,52.89805269,56.13092048,6.853574241,84.64219042,88.32,89.18245264,2.5,4.54195535,17.92,80.47108674,29.3,79.4229309,7.1,49.0864799,40.8,70.33919598,3.6,25.23425299,20.8,66.07097592,58.04796603,6.021460791,62.49369642,14.1074,73.1416,12.7509,45.4693,24.9593,5.4259,0.5969,2.7672,2746.79378393,449705.234049,20.7813,"POLYGON ((166781.01150000095 -467093.2636000002, 166797.2580000013 -467890.6657999996, 166592.40019999817 -467894.7767000003, 166320.40929999948 -467861.66700000037, 166205.02739999816 -467864.62820000015, 166236.08190000057 -467288.1637000004, 166209.15419999883 -467084.2542000003, 166781.01150000095 -467093.2636000002))"
06037571704,90805,Los Angeles,Long Beach,4076,45.07913323,82.09783157,0.04192559,26.69570629,12.14582489,86.85749844,0.109917368,40.36092097,0.0,0.0,10218.81331,97.46186547,913.3258316,52.55,339.0441176,34.7321094,81.46291113,90.58601134,0.0,0.0,0.0,0.0,0.28,46.80344143,11.0,86.95926081,0.0,0.0,44.68785614,5.456378359,55.89296826,94.42,91.13908275,6.46,82.99974339,20.48,88.99551346,23.0,69.91900785,10.5,63.68926783,47.6,79.1959799,7.3,69.9765747,23.3,75.10773131,79.64457943,8.261731549,92.23398891,13.0765,78.9745,7.949,64.2542,9.1266,16.7812,0.8096,0.9078,3409.73443899,481164.401298,8.1207,"POLYGON ((167983.80920000002 -460715.45799999963, 167993.5031999983 -461139.55759999994, 168055.04619999975 -461138.4900000002, 168063.58619999886 -461018.86110000033, 168250.66970000044 -461249.9907999998, 168125.66010000184 -461330.5883999998, 167996.66679999977 -461353.1364000002, 167999.36989999935 -461591.01580000017, 167558.08449999988 -461782.6991999997, 167531.90940000117 -460727.0937999999, 167983.80920000002 -460715.45799999963))"
06037570403,90805,Los Angeles,Long Beach,4832,74.36867631,99.59657085,0.04259906,29.89421282,12.4277485,90.60360921,0.9005652,97.54822651,0.287445612,33.96551724,11027.86328,97.91197799,1778.158275,83.425,328.9952303,31.17272387,91.10340978,97.52993069,2.0,25.6252333,10.75,48.96231114,0.63,75.96293845,10.0,82.96934061,5.0,75.67010309,67.45026163,8.235663548,97.22464219,84.23,87.38783649,6.85,88.40133436,18.48,82.5772682,45.2,93.78638319,14.9,77.14169712,57.6,89.76130653,9.8,85.48932847,32.4,93.72623574,87.05156828,9.03007704,97.89460414,25.1656,70.8816,3.9528,84.2508,3.4768,4.7392,0.0,0.8278,3222.65448663,571871.028408,6.7053,"POLYGON ((166480.9338000007 -457746.40660000034, 166497.85049999878 -458530.9327999996, 165885.4246999994 -458543.8677000003, 165883.74830000103 -458469.91139999963, 165802.9915000014 -458471.88210000005, 165805.34519999847 -458527.8554999996, 165794.5315000005 -458528.61450000014, 165793.64869999886 -458486.8119000001, 165753.87579999864 -458488.0072999997, 165745.59409999847 -457819.6070999997, 165713.0208999999 -457819.6679999996, 165711.67660000175 -457768.1122000003, 166480.9338000007 -457746.40660000034))"
06037553503,90723,Los Angeles,Paramount,2906,35.75126387,68.77206253,0.04490202,39.98755445,12.01081735,78.86745488,0.546177718,91.3378967,0.0,0.0,7245.993122,95.49887472,2962.935863,95.6625,190.4996558,6.831522418,70.60350058,79.96219282,0.0,0.0,0.0,0.0,0.28,46.80344143,7.0,66.73666527,0.0,0.0,48.24834011,5.891112744,65.84940884,34.98,33.3998006,6.9,88.85039774,11.41,41.35094716,35.3,85.58592761,10.9,65.19150088,42.8,73.20351759,3.7,26.86100989,19.7,61.52091255,58.50314444,6.068677587,63.21230459,11.0461,81.5554,7.3985,81.8995,2.34,13.9367,0.0,1.1356,2897.28470143,424001.266006,0.6882,"POLYGON ((171159.70949999988 -454067.9952999996, 170873.42350000143 -454600.17619999964, 170545.16970000044 -454427.3013000004, 170611.2611999996 -454296.33550000004, 170300.0839000009 -454339.7698999997, 170362.17379999906 -454093.18099999987, 170312.78170000017 -454064.8543999996, 170503.84149999917 -453710.2599999998, 171159.70949999988 -454067.9952999996))"
06037552302,90650,Los Angeles,Norwalk,4107,43.52939773,80.15632879,0.04676708,48.45052894,11.94041032,75.15868077,0.36544721,82.40199129,0.0,0.0,4069.456645,89.63490873,1927.113331,85.8375,514.9367995,61.92081928,54.34566914,57.70636421,8.25,53.69540873,19.25,67.07620787,0.705,78.51753805,2.0,23.87652247,4.25,71.13402062,61.37921262,7.494389669,92.60734287,54.01,61.44067797,5.0,52.36079035,20.83,89.79312064,15.9,57.51708428,7.1,49.0864799,25.8,45.96733668,3.1,18.31077564,17.1,49.72116603,55.99271575,5.808264536,59.54362078,9.1308,72.8756,17.9937,56.6107,13.9518,7.6211,0.0,0.8522,4583.17439753,955186.168773,20.9642,"POLYGON ((180091.36930000037 -454743.59360000025, 180098.34600000083 -455038.2017999999, 180032.32789999992 -455040.11230000015, 180035.6763000004 -455140.1057000002, 179973.62950000167 -455141.7122999998, 179972.6169999987 -455155.48890000023, 179319.60720000044 -455172.86209999956, 178940.27199999988 -454832.39169999957, 179015.81560000032 -454884.76329999976, 178992.06639999896 -454369.5162000004, 179849.47690000013 -454348.30819999985, 179838.0603 -454026.27720000036, 179848.29729999974 -454065.3381000003, 180247.69420000166 -454323.9336000001, 180256.76419999823 -454738.0870000003, 180091.36930000037 -454743.59360000025))"
06037503104,90605,Los Angeles,South Whittier,2542,47.13213919,84.59404942,0.04756207,51.89794648,11.95022379,75.74362166,0.169956289,56.27878034,0.0,0.0,3657.664754,87.60940235,716.0593699,37.45,649.2203871,71.91207693,79.76500326,89.01071204,13.0,71.63120567,6.85,36.92512037,0.09,11.1978822,2.0,23.87652247,2.5,59.17525773,52.67894421,6.432088625,77.33665215,47.68,53.0782652,6.69,86.34847318,18.6,82.96360917,36.4,86.72487978,21.9,89.03775883,44.6,75.51507538,4.9,43.0895367,15.5,41.38149556,70.63993255,7.327656993,80.8623298,13.0999,77.3013,9.5987,85.2478,4.4453,0.0,0.8261,0.0,3332.53327488,546867.729395,9.4807,"POLYGON ((181370.7547999993 -453022.23869999964, 181441.29080000147 -453065.04250000045, 181567.5527999997 -453029.48000000045, 181412.62170000002 -453498.8411999997, 180635.68820000067 -453520.65380000044, 180650.560899999 -453178.55399999954, 180638.97560000047 -452553.5554999998, 181025.24320000038 -452881.6135999998, 181370.7547999993 -453022.23869999964))"
06037550602,90240,Los Angeles,Downey,4328,28.02832969,55.04286435,0.04716458,50.54138146,12.149672,87.00684505,0.339797552,80.21157436,0.0,0.0,3806.763347,88.28457114,1004.917269,58.1625,486.4390539,58.74859498,63.76406589,71.27914304,0.0,0.0,3.0,22.11522497,0.1,16.63798809,7.0,66.73666527,0.0,0.0,48.21887606,5.887515189,65.73739888,36.14,35.16949153,6.31,80.51064922,13.8,59.24725823,16.0,57.61832447,4.8,36.45960211,23.1,40.8040201,1.0,1.340447683,13.6,31.16603295,45.89340923,4.760638196,44.27634897,8.7338,75.7394,15.5268,70.1479,19.7551,0.6007,0.0,2.1026,5075.02615404,1481503.39711,7.3937,"POLYGON ((174369.74549999833 -449501.28249999974, 174055.4114000015 -450265.5728000002, 173612.5113000013 -450009.10649999976, 173225.06289999932 -449829.62200000044, 172691.32290000096 -449521.4319000002, 173303.04300000146 -448475.9573999997, 174033.62189999968 -449233.7242999999, 174369.74549999833 -449501.28249999974))"
06037550601,90240,Los Angeles,Downey,5960,36.7394471,70.17145739,0.04791979,53.72744244,12.15528894,87.15619166,0.642957998,94.22526447,0.0,0.0,3567.64329,87.09677419,2943.777239,95.5875,456.1615222,54.81453728,74.64615625,84.27221172,4.5,40.83613289,6.1,35.115391,3.07,96.28060887,8.0,72.15455691,2.05,52.96678121,66.23022487,8.086697302,96.65214686,31.59,27.84147557,4.14,29.88196048,11.65,43.40727817,21.1,66.62870159,15.0,77.42590337,27.5,49.54773869,3.8,28.20145757,16.7,47.61723701,43.79722286,4.543195538,40.85980837,15.5705,76.2919,8.1376,73.3389,16.1242,2.5336,0.0,1.3255,4439.86158547,1172323.88837,6.6779,"POLYGON ((174454.64829999954 -449298.3493999997, 174369.74549999833 -449501.28249999974, 174033.62189999968 -449233.7242999999, 173303.04300000146 -448475.9573999997, 173537.59219999984 -448070.71079999954, 173551.17289999872 -448018.96549999993, 173924.3867000006 -447820.30289999954, 174585.72720000148 -448666.26889999956, 174681.61919999868 -448755.5499, 174454.64829999954 -449298.3493999997))"
